task,right_answer,acce
I want to close this modal,6,0
I want to input the name of this meal "Fried Chicken",7,0
I want to input the name of this meal "Fried Chicken",25,0
I want to choose light button,8,0
I want to choose meat button,9,0
I want to choose the start month from "January" to "March",10,0
I want to choose the end month from "December" to "September",11,0
I want to input the source of this meal "Tomato",12,0
I want to input the source of this meal "Tomato",26,0
I want to add this meal,14,0
