task,right_answer,acce
I want to go to navigation bar,1,0
I want to delete the first medicine,5,0
I want to change the dose of the first medicine "Medicine-A" from 24 to 18,6,0
I want to change the quantity of the first medicine took in the morning from 6 to 8,7,0
I want to change the quantity of the first medicine took in the morning from 6 to 8,28,0
I want to change the quantity of the first medicine took at noon from 6 to 8,8,0
I want to change the quantity of the first medicine took at noon from 6 to 8,29,0
I want to change the quantity of the first medicine took in the afternoon from 6 to 8,9,0
I want to change the quantity of the first medicine took in the afternoon from 6 to 8,30,0
I want to change the quantity of the first medicine took at night from 6 to 8,10,0
I want to change the quantity of the first medicine took at night from 6 to 8,31,0
I want to change the quantity of the second medicine took in the morning from 0 to 1,14,0
I want to change the quantity of the second medicine took in the morning from 0 to 1,33,0
I want to change the name of the third medicine "Medicine-D" to "Medicine-C",18,0
I want to add a medicine I took today,3,1
I want to remove the first medicine "Medicine-A",5,0
I want to remove the second medicine "Medicine-B",11,0
I want to go to next step,26,0
I want to go back to last step,25,0
