task,right_answer,acce
I want to back to main menu,1,0
I want to switch on enabled,2,0
I want to switch on enabled,3,0
I want to change length from "5.0" to "3.0" minutes,4,1
I want to change length from "5.0" to "3.0" minutes,10,1
I want to change max snoozes time from "3" to "10",5,1
I want to change max snoozes time from "3" to "10",11,0
I want to switch on prevent disabling,6,0
I want to switch on prevent disabling,7,1
I want to switch on prevent deletion,8,0
I want to switch on prevent deletion,9,1
