task,right_answer,acce
I want to add the picture to this clothes,1,1
I want to change name of this clothes "T-shirt",2,0
I want to change name of this clothes "T-shirt",16,0
I want to randomly get a name,3,4
I want to set the type of this clothes,4,0
I want to set the fitness of this clothes,5,0
I want to set the season of this clothes,6,0
I want to set the quantity from "1" to "3",7,0
I want to set the quantity from "1" to "3",17,0
I want to set the size "4XL",9,0
I want to set the size "4XL",18,0
I want to set the purchase date from "07/06/2024" to "03/03/2022",10,0
I want to put the clothes to myself colection,11,0
I want to switch on the automatic color selection,12,0
I want to set the primary color,13,0
I want to set the secondary color,14,0
