task,right_answer,acce
I want to back to last page,1,0
I want to search in this page,2,1
I want to search in this page,3,1
I want to go to timer page,18,1
I want to get information,4,1
I want to change theme,5,0
I want to set strength unit,6,0
I want to set cardio unit,7,0
I want to set long date format,8,0
I want to set short date format,9,0
I want to set plan trailing display,10,0
I want to change maximum sets,11,0
I want to change rest minutes,12,0
I want to chage rest seconds,13,0
I want to change maximum sets,19,0
I want to change rest minutes,20,0
I want to chage rest seconds,21,0
