task,right_answer,acce
I want to close this page,1,0
I want to save this habit,2,0
I want to change name from "Play ping-pong" to "Go swimming",3,0
I want to change name from "Play ping-pong" to "Go swimming",13,0
I want to change color form deep lilac to dark red,4,0
I want to change the habit from positive to negative,5,0
I want to set daily goal to "1",6,0
I want to set daily goal to "1",14,0
I want to set daily goal unit to "time(s)",7,0
I want to set daily goal unit to "time(s)",15,0
I want to set desired maximum daily goal to "3",8,0
I want to set desired maximum daily goal to "3",16,0
I want to change frequency from daily to weekly,9,0
I want to change date,10,0
I want to change the last of this habits 66 days,11,0
I want to set reminder,12,0
